latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-74.0199,40.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m (°C),relative_humidity_2m (%),cloudcover (%),rain (mm),sunshine_duration (s),windspeed_10m (km/h)
2025-09-22T08:00,0,13.4,87,0,0.00,2976.35,4.3
2025-09-22T09:00,1,15.4,74,21,0.00,3600.00,1.9
2025-09-22T10:00,2,17.3,64,70,0.00,3600.00,0.4
2025-09-22T11:00,3,18.9,57,85,0.00,3600.00,2.1
2025-09-22T12:00,3,20.6,50,100,0.00,3600.00,4.5
2025-09-22T13:00,3,21.5,47,100,0.00,2027.67,6.2
2025-09-22T14:00,3,22.2,49,100,0.00,3600.00,8.3
2025-09-22T15:00,3,22.4,54,85,0.00,3600.00,8.7
2025-09-22T16:00,3,22.6,55,84,0.00,3600.00,8.4
2025-09-22T17:00,0,22.2,56,4,0.00,3600.00,5.6
2025-09-22T18:00,0,21.6,58,1,0.00,3600.00,9.5
2025-09-22T19:00,0,20.0,69,1,0.00,1255.69,9.2
2025-09-22T20:00,0,19.2,77,2,0.00,0.00,8.2
2025-09-22T21:00,0,18.7,82,7,0.00,0.00,7.7
2025-09-22T22:00,0,18.5,85,16,0.00,0.00,5.8
2025-09-22T23:00,1,18.3,86,28,0.00,0.00,6.7
2025-09-23T00:00,0,18.1,86,19,0.00,0.00,7.3
2025-09-23T01:00,1,18.0,86,40,0.00,0.00,8.1
2025-09-23T02:00,3,17.9,86,91,0.00,0.00,7.4
2025-09-23T03:00,2,17.5,87,60,0.00,0.00,6.1
2025-09-23T04:00,2,17.2,88,72,0.00,0.00,6.6
2025-09-23T05:00,0,17.0,90,9,0.00,0.00,6.3
2025-09-23T06:00,0,16.7,93,3,0.00,0.00,4.5
2025-09-23T07:00,0,16.8,94,7,0.00,0.00,6.3
2025-09-23T08:00,1,18.1,90,44,0.00,2916.35,8.0
2025-09-23T09:00,3,20.1,82,94,0.00,3600.00,9.5
2025-09-23T10:00,2,22.3,72,64,0.00,3600.00,11.4
2025-09-23T11:00,3,25.0,61,91,0.00,3600.00,14.4
2025-09-23T12:00,2,27.2,52,50,0.00,3600.00,12.9
2025-09-23T13:00,3,28.7,45,84,0.00,3600.00,11.7
2025-09-23T14:00,51,28.5,48,56,0.20,3600.00,12.9
2025-09-23T15:00,51,29.0,47,54,0.20,3600.00,9.9
2025-09-23T16:00,3,29.0,47,95,0.00,3600.00,8.3
2025-09-23T17:00,3,28.7,48,100,0.00,3600.00,8.2
2025-09-23T18:00,3,27.7,51,100,0.00,3600.00,7.7
2025-09-23T19:00,51,26.0,66,100,0.10,0.00,2.7
2025-09-23T20:00,3,25.1,65,100,0.00,0.00,3.6
2025-09-23T21:00,61,21.3,94,100,2.40,0.00,1.5
2025-09-23T22:00,63,20.1,97,100,5.50,0.00,1.4
2025-09-23T23:00,53,20.3,97,99,0.80,0.00,4.3
2025-09-24T00:00,51,20.3,96,96,0.10,0.00,4.3
2025-09-24T01:00,3,20.3,96,85,0.00,0.00,4.9
2025-09-24T02:00,1,20.1,95,36,0.00,0.00,4.6
2025-09-24T03:00,2,19.3,97,50,0.00,0.00,3.9
2025-09-24T04:00,2,19.1,97,67,0.00,0.00,1.0
2025-09-24T05:00,2,18.8,98,66,0.00,0.00,0.6
2025-09-24T06:00,3,18.3,99,100,0.00,0.00,3.6
2025-09-24T07:00,3,18.5,99,100,0.00,0.00,2.2
2025-09-24T08:00,3,19.8,97,100,0.00,0.00,2.8
2025-09-24T09:00,3,22.0,91,100,0.00,0.00,5.4
2025-09-24T10:00,3,23.3,83,100,0.00,1435.93,2.7
2025-09-24T11:00,3,23.9,79,100,0.00,0.00,3.7
2025-09-24T12:00,3,24.8,76,100,0.00,0.00,3.9
2025-09-24T13:00,3,25.4,74,100,0.00,1023.47,4.3
2025-09-24T14:00,3,25.7,71,100,0.00,82.10,4.0
2025-09-24T15:00,3,26.0,69,100,0.00,3600.00,5.5
2025-09-24T16:00,3,25.6,70,100,0.00,1441.63,6.5
2025-09-24T17:00,51,24.8,73,100,0.30,0.00,11.9
2025-09-24T18:00,53,21.5,88,100,0.50,0.00,6.5
2025-09-24T19:00,3,21.3,91,100,0.00,0.00,6.5
2025-09-24T20:00,53,20.7,93,100,0.80,0.00,3.9
2025-09-24T21:00,3,20.8,96,100,0.00,0.00,8.7
2025-09-24T22:00,51,20.7,95,100,0.10,0.00,6.7
2025-09-24T23:00,61,20.2,98,100,1.80,0.00,8.7
2025-09-25T00:00,61,20.2,98,100,1.30,0.00,4.9
2025-09-25T01:00,53,20.1,98,100,0.70,0.00,9.0
2025-09-25T02:00,53,19.8,98,100,0.50,0.00,9.6
2025-09-25T03:00,61,19.7,97,100,1.90,0.00,11.9
2025-09-25T04:00,65,19.7,97,100,8.20,0.00,11.3
2025-09-25T05:00,65,19.6,98,100,15.40,0.00,7.8
2025-09-25T06:00,63,20.1,96,100,6.80,0.00,8.1
2025-09-25T07:00,3,20.3,95,100,0.00,0.00,8.1
2025-09-25T08:00,3,20.5,95,100,0.00,0.00,10.8
2025-09-25T09:00,63,21.3,95,100,3.40,0.00,10.4
2025-09-25T10:00,61,21.1,96,100,2.40,0.00,9.3
2025-09-25T11:00,51,23.2,86,98,0.20,2528.51,8.3
2025-09-25T12:00,63,23.1,89,100,4.30,1161.78,5.8
2025-09-25T13:00,63,22.2,92,100,4.20,0.00,9.0
2025-09-25T14:00,51,23.7,90,100,0.20,0.00,9.8
2025-09-25T15:00,61,22.8,93,100,1.50,0.00,13.1
2025-09-25T16:00,51,23.3,86,99,0.30,0.00,14.3
2025-09-25T17:00,51,23.0,89,100,0.20,1981.75,11.2
2025-09-25T18:00,51,23.3,90,100,0.40,0.00,11.0
2025-09-25T19:00,51,23.3,89,92,0.10,0.00,17.0
2025-09-25T20:00,3,22.9,91,100,0.00,0.00,14.7
2025-09-25T21:00,51,22.4,92,58,0.20,0.00,13.5
2025-09-25T22:00,3,21.9,94,100,0.00,0.00,13.7
2025-09-25T23:00,3,21.8,94,100,0.00,0.00,11.1
2025-09-26T00:00,1,21.2,91,33,0.00,0.00,8.6
2025-09-26T01:00,3,20.6,91,94,0.00,0.00,6.7
2025-09-26T02:00,3,20.0,91,100,0.00,0.00,5.0
2025-09-26T03:00,3,19.7,92,100,0.00,0.00,5.5
2025-09-26T04:00,3,19.4,92,100,0.00,0.00,5.1
2025-09-26T05:00,3,19.1,92,98,0.00,0.00,4.1
2025-09-26T06:00,3,18.7,93,100,0.00,0.00,3.6
2025-09-26T07:00,3,18.5,93,100,0.00,0.00,3.4
2025-09-26T08:00,3,19.1,92,91,0.00,0.00,4.8
2025-09-26T09:00,1,21.2,82,23,0.00,3600.00,5.5
2025-09-26T10:00,3,22.5,75,83,0.00,3600.00,5.5
2025-09-26T11:00,0,23.7,73,12,0.00,3600.00,5.6
2025-09-26T12:00,0,24.8,68,17,0.00,3600.00,4.6
2025-09-26T13:00,1,25.6,60,21,0.00,3600.00,6.6
2025-09-26T14:00,0,25.9,57,15,0.00,3600.00,7.8
2025-09-26T15:00,1,26.1,55,23,0.00,3600.00,8.8
2025-09-26T16:00,0,26.1,55,16,0.00,3600.00,8.4
2025-09-26T17:00,0,25.7,57,16,0.00,3600.00,7.6
2025-09-26T18:00,0,24.6,66,16,0.00,3600.00,4.3
2025-09-26T19:00,0,23.0,74,7,0.00,535.09,4.5
2025-09-26T20:00,3,22.1,78,99,0.00,0.00,4.4
2025-09-26T21:00,3,21.6,77,100,0.00,0.00,5.1
2025-09-26T22:00,3,21.1,80,97,0.00,0.00,5.2
2025-09-26T23:00,3,20.7,78,100,0.00,0.00,5.4
2025-09-27T00:00,3,20.2,76,100,0.00,0.00,6.5
2025-09-27T01:00,0,19.8,77,19,0.00,0.00,5.8
2025-09-27T02:00,2,18.7,82,77,0.00,0.00,4.5
2025-09-27T03:00,3,18.2,85,97,0.00,0.00,4.0
2025-09-27T04:00,1,17.8,86,24,0.00,0.00,4.3
2025-09-27T05:00,3,17.4,87,92,0.00,0.00,4.7
2025-09-27T06:00,0,17.0,89,18,0.00,0.00,4.1
2025-09-27T07:00,2,16.7,89,60,0.00,0.00,4.4
2025-09-27T08:00,3,17.7,88,87,0.00,2673.38,5.7
2025-09-27T09:00,3,18.9,82,100,0.00,3600.00,3.8
2025-09-27T10:00,3,20.5,77,82,0.00,3600.00,2.7
2025-09-27T11:00,3,22.5,69,100,0.00,3600.00,2.2
2025-09-27T12:00,3,23.6,63,100,0.00,3600.00,2.2
2025-09-27T13:00,3,24.1,60,100,0.00,3600.00,1.9
2025-09-27T14:00,3,24.1,59,100,0.00,1663.00,3.6
2025-09-27T15:00,3,23.8,61,100,0.00,0.00,4.9
2025-09-27T16:00,3,23.8,61,100,0.00,987.55,6.0
2025-09-27T17:00,3,23.0,64,100,0.00,0.00,5.2
2025-09-27T18:00,3,22.1,70,100,0.00,0.00,4.7
2025-09-27T19:00,3,20.9,78,100,0.00,0.00,3.4
2025-09-27T20:00,3,20.5,82,100,0.00,0.00,3.1
2025-09-27T21:00,51,20.7,82,100,0.30,0.00,2.8
2025-09-27T22:00,3,20.7,82,100,0.00,0.00,2.2
2025-09-27T23:00,51,20.4,83,100,0.10,0.00,5.6
2025-09-28T00:00,3,20.1,83,100,0.00,0.00,5.6
2025-09-28T01:00,53,19.5,83,100,0.70,0.00,3.2
2025-09-28T02:00,3,19.2,84,100,0.00,0.00,2.4
2025-09-28T03:00,3,19.1,86,100,0.00,0.00,4.1
2025-09-28T04:00,3,18.7,89,100,0.00,0.00,0.5
2025-09-28T05:00,3,18.4,90,100,0.00,0.00,0.6
2025-09-28T06:00,2,18.0,92,77,0.00,0.00,0.9
2025-09-28T07:00,0,17.5,94,4,0.00,0.00,1.6
2025-09-28T08:00,0,18.8,91,5,0.00,2611.83,4.4
2025-09-28T09:00,0,20.3,87,0,0.00,3600.00,4.1
2025-09-28T10:00,0,21.6,79,0,0.00,3600.00,5.2
2025-09-28T11:00,0,22.9,71,0,0.00,3600.00,5.7
2025-09-28T12:00,0,24.1,68,0,0.00,3600.00,6.1
2025-09-28T13:00,0,25.3,65,0,0.00,3600.00,5.9
2025-09-28T14:00,0,26.3,61,0,0.00,3600.00,5.9
2025-09-28T15:00,0,27.1,56,0,0.00,3600.00,5.8
2025-09-28T16:00,0,27.8,50,2,0.00,3600.00,5.4
2025-09-28T17:00,0,27.8,49,4,0.00,3600.00,5.4
2025-09-28T18:00,0,26.6,63,0,0.00,3600.00,2.4
2025-09-28T19:00,0,24.1,70,0,0.00,412.79,4.6
2025-09-28T20:00,0,23.5,71,0,0.00,0.00,6.4
2025-09-28T21:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T22:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T23:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
